name,root,iterations,time,absolute error,relative error
newton,2.0000000000012665,4,1.0728836059570312e-05,1.2665424264923786e-12,6.332712132461893e-13
secant,1.9999999996523508,5,1.5020370483398438e-05,3.4764924272678854e-10,1.7382462136339427e-10
brent,1.2984350376497455,24,5.3882598876953125e-05,0.7015649623502545,0.3507824811751272
bisection,1.9262898059047306,1,5.7220458984375e-06,0.07371019409526935,0.03685509704763468
false_position,1.9999999997334161,9,1.3113021850585938e-05,2.6658386609312856e-10,1.3329193304656428e-10
fixed_point,1.9999999969929216,42,1.52587890625e-05,3.0070783640923082e-09,1.5035391820461541e-09
newton,2.000000000000008,3,1.049041748046875e-05,7.993605777301127e-15,3.9968028886505635e-15
secant,2.000000000005997,5,1.1205673217773438e-05,5.9969806898152456e-12,2.9984903449076228e-12
brent,2.0,20,6.151199340820312e-05,0.0,0.0
bisection,2.0839340076213873,1,6.4373016357421875e-06,0.08393400762138725,0.041967003810693626
false_position,1.9999999987142665,7,2.2411346435546875e-05,1.2857335196514441e-09,6.428667598257221e-10
fixed_point,2.0000000033179908,42,2.002716064453125e-05,3.31799077102346e-09,1.65899538551173e-09
newton,2.0000000000000293,3,1.239776611328125e-05,2.930988785010413e-14,1.4654943925052066e-14
secant,1.99999999983554,4,1.1682510375976562e-05,1.6446000117298354e-10,8.223000058649177e-11
brent,2.0,27,9.918212890625e-05,0.0,0.0
bisection,2.462418216878567,1,1.5497207641601562e-05,0.4624182168785671,0.23120910843928355
false_position,2.00000000014148,8,1.7642974853515625e-05,1.414801609200822e-10,7.07400804600411e-11
fixed_point,2.00000000336064,46,1.5735626220703125e-05,3.3606402105590405e-09,1.6803201052795202e-09
newton,2.0000000000000004,4,1.2636184692382812e-05,4.440892098500626e-16,2.220446049250313e-16
secant,2.0000000000000173,5,2.3365020751953125e-05,1.7319479184152442e-14,8.659739592076221e-15
brent,2.3400225475802725,26,5.698204040527344e-05,0.3400225475802725,0.17001127379013625
bisection,1.971521005670274,1,6.4373016357421875e-06,0.028478994329725893,0.014239497164862946
false_position,1.9999999997271893,4,1.2874603271484375e-05,2.728106629490412e-10,1.364053314745206e-10
fixed_point,2.000000003885494,39,1.5497207641601562e-05,3.885494148647695e-09,1.9427470743238473e-09
newton,2.0,3,8.58306884765625e-06,0.0,0.0
secant,1.999999998134648,3,1.4781951904296875e-05,1.865352095009598e-09,9.32676047504799e-10
brent,2.0,23,5.53131103515625e-05,0.0,0.0
bisection,2.5983216477125213,25,2.384185791015625e-05,0.5983216477125213,0.29916082385626064
false_position,2.000000000496702,9,1.5735626220703125e-05,4.967017908086291e-10,2.4835089540431454e-10
fixed_point,2.0000000032347462,46,1.52587890625e-05,3.234746248637066e-09,1.617373124318533e-09
newton,2.0,4,1.71661376953125e-05,0.0,0.0
secant,2.0000000000000413,5,1.0251998901367188e-05,4.1300296516055823e-14,2.0650148258027912e-14
brent,2.4435586451629425,26,5.030632019042969e-05,0.4435586451629425,0.22177932258147126
bisection,1.7933877245330057,1,5.4836273193359375e-06,0.20661227546699434,0.10330613773349717
false_position,1.9999999986445876,8,2.2411346435546875e-05,1.3554124489445485e-09,6.777062244722742e-10
fixed_point,1.999999996149934,44,1.7881393432617188e-05,3.850066043753486e-09,1.925033021876743e-09
newton,2.0000000000595803,3,8.106231689453125e-06,5.958034066111395e-11,2.9790170330556975e-11
secant,2.000000000037532,5,1.049041748046875e-05,3.753219957047804e-11,1.876609978523902e-11
brent,1.9999999999999996,27,6.222724914550781e-05,4.440892098500626e-16,2.220446049250313e-16
bisection,1.975993652783013,26,2.3365020751953125e-05,0.024006347216986912,0.012003173608493456
false_position,1.9999999997690103,4,1.1444091796875e-05,2.309896718344362e-10,1.154948359172181e-10
